game,stage,col,col_animate,ocl,tex,tex256,texch3
6,stage/map/st01x.omp,stage/col/eng/col01_xx.col,col/stage/st01x/st01x.col,stage/cel/st01x.ocl,stage/dds/st01x.tex,,
6,stage/map/st02.omp,stage/col/eng/col02_0x.col,col/stage/st02/st02.col,stage/cel/st02.ocl,stage/dds/st02.tex,stage/dds/st02_chr256.tex,
6,stage/map/st02x.omp,stage/col/eng/col02_xx.col,col/stage/st02x/st02x.col,stage/cel/st02x.ocl,stage/dds/st02x.tex,,
6,stage/map/st03.omp,stage/col/eng/col03_0x.col,col/stage/st03/st03.col,stage/cel/st03.ocl,stage/dds/st03.tex,stage/dds/st03_chr256.tex,
6,stage/map/st03x.omp,stage/col/eng/col03_xx.col,col/stage/st03x/st03x.col,stage/cel/st03x.ocl,stage/dds/st03x.tex,,
6,stage/map/st04a.omp,stage/col/eng/col04_0x.col,col/stage/st04a/st04a.col,stage/cel/st04a.ocl,stage/dds/st04a.tex,stage/dds/st04a_chr256.tex,
6,stage/map/st04b.omp,stage/col/eng/col04_1x.col,col/stage/st04b/st04b.col,stage/cel/st04b.ocl,stage/dds/st04b.tex,stage/dds/st04b_chr256.tex,
6,stage/map/st04x.omp,stage/col/eng/col04_xx.col,col/stage/st04x/st04x.col,stage/cel/st04x.ocl,stage/dds/st04x.tex,,
6,stage/map/st05.omp,stage/col/eng/col05_0x.col,col/stage/st05/st05.col,stage/cel/st05.ocl,stage/dds/st05.tex,stage/dds/st05_chr256.tex,
6,stage/map/st05x.omp,stage/col/eng/col05_xx.col,col/stage/st05x/st05x.col,stage/cel/st05x.ocl,stage/dds/st05x.tex,,
6,stage/map/st06a.omp,stage/col/eng/col06_0x.col,col/stage/st06a/st06a.col,stage/cel/st06a.ocl,stage/dds/st06a.tex,stage/dds/st06a_chr256.tex,
6,stage/map/st06x.omp,stage/col/eng/col06_xx.col,col/stage/st06x/st06x.col,stage/cel/st06x.ocl,stage/dds/st06x.tex,,
6,stage/map/st07.omp,stage/col/eng/col07_0x.col,col/stage/st07/st07.col,stage/cel/st07.ocl,stage/dds/st07.tex,stage/dds/st07_chr256.tex,
6,stage/map/st07x.omp,stage/col/eng/col07_xx.col,col/stage/st07x/st07x.col,stage/cel/st07x.ocl,stage/dds/st07x.tex,,
6,stage/map/st08.omp,stage/col/eng/col08_0x.col,col/stage/st08/st08.col,stage/cel/st08.ocl,stage/dds/st08.tex,stage/dds/st08_chr256.tex,
6,stage/map/st08x.omp,stage/col/eng/col08_xx.col,col/stage/st08x/st08x.col,stage/cel/st08x.ocl,stage/dds/st08x.tex,,
6,stage/map/st0ca.omp,stage/col/eng/col0c_0x.col,col/stage/st0ca/st0ca.col,stage/cel/st0ca.ocl,stage/dds/st0ca.tex,stage/dds/st0ca_chr256.tex,
6,stage/map/st0cb.omp,stage/col/eng/col0c_1x.col,col/stage/st0cb/st0cb.col,stage/cel/st0cb.ocl,stage/dds/st0cb.tex,stage/dds/st0cb_chr256.tex,
6,stage/map/st0g.omp,stage/col/eng/col0g_0x.col,col/stage/st0g/st0g.col,stage/cel/st0g.ocl,stage/dds/st0g.tex,stage/dds/st0g_chr256.tex,
6,stage/map/st0h.omp,stage/col/eng/col0h_0x.col,col/stage/st0h/st0h.col,stage/cel/st0h.ocl,stage/dds/st0h.tex,stage/dds/st0h_chr256.tex,
6,stage/map/st0i.omp,stage/col/eng/col0i_0x.col,col/stage/st0i/st0i.col,stage/cel/st0i.ocl,stage/dds/st0i.tex,stage/dds/st0i_chr256.tex,
6,stage/map/stsel_eng.omp,stage/col/eng/col0d_00.col,,stage/cel/stsel_eng.ocl,stage/dds/stsel_eng.tex,stage/dds/stsel_eng_chr256.tex,
4,stage/map/SCR00_00.omp,stage/col/col00_0X_eng.col,col/stage/st0_0.col,stage/cel/SCR00_00.ocl,stage/dds/ST00_00.tex,,
4,stage/map/SCR00_01.omp,stage/col/col00_1X_eng.col,,stage/cel/SCR00_01.ocl,stage/dds/ST00_01.tex,,
4,stage/map/SCR01_00.omp,stage/col/col01_0X_eng.col,col/stage/st1_0.col,stage/cel/SCR01_00.ocl,stage/dds/ST01_00.tex,,
4,stage/map/SCR01_01.omp,stage/col/col01_1X_eng.col,col/stage/st1_1.col,stage/cel/SCR01_01.ocl,stage/dds/ST01_01.tex,,
4,stage/map/SCR02_00.omp,stage/col/col02_0X_eng.col,col/stage/st2_0.col,stage/cel/SCR02_00.ocl,stage/dds/ST02_00.tex,,
4,stage/map/SCR02_01.omp,stage/col/col02_1X_eng.col,col/stage/st2_1.col,stage/cel/SCR02_01.ocl,stage/dds/ST02_01.tex,,
4,stage/map/SCR03_00.omp,stage/col/col03_0X_eng.col,col/stage/st3_0.col,stage/cel/SCR03_00.ocl,stage/dds/ST03_00.tex,,
4,stage/map/SCR03_01.omp,stage/col/col03_1X_eng.col,col/stage/st3_1.col,stage/cel/SCR03_01.ocl,stage/dds/ST03_01.tex,,
4,stage/map/SCR04_00.omp,stage/col/col04_0X_eng.col,col/stage/st4_0.col,stage/cel/SCR04_00.ocl,stage/dds/ST04_00.tex,,
4,stage/map/SCR04_01.omp,stage/col/col04_1X_eng.col,col/stage/st4_1.col,stage/cel/SCR04_01.ocl,stage/dds/ST04_01.tex,,
4,stage/map/SCR05_00.omp,stage/col/col05_0X_eng.col,col/stage/st5_0.col,stage/cel/SCR05_00.ocl,stage/dds/ST05_00.tex,,
4,stage/map/SCR05_01.omp,stage/col/col05_1X_eng.col,col/stage/st5_1.col,stage/cel/SCR05_01.ocl,stage/dds/ST05_01.tex,,
4,stage/map/SCR06_00.omp,stage/col/col06_0X_eng.col,col/stage/st6_0.col,stage/cel/SCR06_00.ocl,stage/dds/ST06_00.tex,,
4,stage/map/SCR06_01.omp,stage/col/col06_1X_eng.col,col/stage/st6_1.col,stage/cel/SCR06_01.ocl,stage/dds/ST06_01.tex,,
4,stage/map/SCR07_00.omp,stage/col/col07_0X_eng.col,,stage/cel/SCR07_00.ocl,stage/dds/ST07_00.tex,,
4,stage/map/SCR07_01.omp,stage/col/col07_1X_eng.col,col/stage/st7_1.col,stage/cel/SCR07_01.ocl,stage/dds/ST07_01.tex,,
4,stage/map/SCR08_00.omp,stage/col/col08_0X_eng.col,,stage/cel/SCR08_00.ocl,stage/dds/ST08_00.tex,,
4,stage/map/SCR08_01.omp,stage/col/col08_1X_eng.col,col/stage/st8_1.col,stage/cel/SCR08_01.ocl,stage/dds/ST08_01.tex,,
4,stage/map/SCR09_00.omp,stage/col/col09_0X_eng.col,col/stage/st9_0.col,stage/cel/SCR09_00.ocl,stage/dds/ST09_00.tex,,
4,stage/map/SCR0A_00.omp,stage/col/COL0A_0X_topchrno.col,col/stage/stA_0.col,stage/cel/SCR0A_00.ocl,stage/dds/ST0A_00.tex,,
4,stage/map/SCR0B_00.omp,stage/col/COL0B_0X_topchrno.col,col/stage/stB_0.col,stage/cel/SCR0B_00.ocl,stage/dds/ST0B_0X.tex,,
4,stage/map/SCR0C_00.omp,stage/col/COL0C_0X_topchrno.col,col/stage/stC_0.col,stage/cel/SCR0C_00.ocl,stage/dds/ST0C_00.tex,,
4,stage/map/SCR0C_01.omp,stage/col/COL0C_1X_topchrno.col,col/stage/stC_1.col,stage/cel/SCR0C_01.ocl,stage/dds/ST0C_01.tex,,
4,stage/map/SCR0D_00.omp,stage/col/COL0D_0X_topchrno.col,col/stage/stD_0.col,stage/cel/SCR0D_00.ocl,stage/dds/ST0D_0X.tex,,
4,stage/map/SCR0D_01_eng.omp,stage/col/col0d_02_eng.col,,stage/cel/SCR0D_01_eng.ocl,stage/dds/STD_1_1_eng.tex,,
4,stage/map/SCR0E_00.omp,stage/col/col0e_00_eng.col,,stage/cel/SCR0E_00.ocl,stage/dds/ST0E_U0.tex,,
4,stage/map/SCR0E_01_eng.omp,stage/col/col0e_01_eng.col,,stage/cel/SCR0E_01_eng.ocl,stage/dds/ST0E_U1.tex,,
4,stage/map/SCR0F_00_eng.omp,stage/col/col0f_00_eng.col,col/stage/stF_0.col,stage/cel/SCR0F_00_eng.ocl,stage/dds/ST0F_U0.tex,,
4,stage/map/ENDING_eng.omp,stage/col/COL0F_01_topchrno.col,col/stage/title_c_eng.col,stage/cel/ENDING_eng.ocl,stage\dds\ST0F_U1.tex,,
